書名,作者,推薦度,備註,評論,Link,File
帥哥死神來敲門,蝶舞,★★,,,https://www.books.com.tw/products/0010554390?srsltid=AfmBOopPGxtXMsbj2jCxBoGW25GBlKgedlAsOjXTSgn3h6wH5zqPWZ5v,No
師妹過來,霜餘,,,,https://www.banxia.la/books/358841.html,No
師父又掉線了,尤前,★,,,http://egg19910707.blog.fc2.com/blog-entry-14342.html,No
幕後嘉賓,蘇錢錢,,,,https://www.banxia.la/books/336933.html,No
年代文炮灰原配幸福起來,袖側,,,,https://www.banxia.la/books/298741.html,No
幻想異聞錄,天罪,★★★★,,,https://www.banxia.la/books/50970.html,No
影帝也愛貓,安之若眠,★★★★,,偽重生,https://czbooks.net/n/cp9le58,No
影帝婚後日常,時槐序,★★★★,,,https://czbooks.net/n/cp4fk4k,No
影帝的公主,笑佳人,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-12967.html,No
影帝的秘密,蝶之靈,,,,https://www.banxia.la/books/764.html,No
影帝的隱婚妻子,雪花肉,★★,,,https://czbooks.net/n/cpg8llo,No
影帝老婆是大廚,安然一世,★,,ummm...只看前幾章，文筆確實不怎麼樣，待定,https://www.jjwxc.net/onebook.php?novelid=3198574,No
很想很想你,墨寶非寶,★★★★,,,https://www.jjwxc.net/onebook.php?novelid=1696278,No
微微一笑很傾城,顧漫,★★★★★,,"經典網遊小說，後翻拍電視劇。
—如果，我知道有一天我會這麼愛妳，我一定對你一見鍾情。",http://egg19910707.blog.fc2.com/blog-entry-89.html,No
快把牛肉麵放下,九兜星,★★★,,,https://www.jjwxc.net/onebook.php?novelid=3530937,No
忽如一夜病嬌來,風流書呆,★★,,,https://czbooks.net/n/clgaed,No
情話微微甜,臨淵魚兒,★★★,,,https://www.jjwxc.net/onebook.php?novelid=3570684,No
惜花芷,空留,★★★★★,,,https://www.banxia.la/books/25981.html,No
惡魔的仙度瑞拉,尹晨伊,★★★★★,,,https://www.books.com.tw/products/0010529101?srsltid=AfmBOoqTxpO6ReGE9LVVmqJKcBGpFLnN67BKb4I8qq0mq0URggRz0xFj,No
惹吻梔意,泓千山,,,,https://www.banxia.la/books/358191.html,No
愛上壞壞的神,蜜芽兒,★★,,,https://www.eslite.com/product/1001137691989780?srsltid=AfmBOopS2EX6bLMSqGUxIUX7Ym6CgvEl7Nakp200ZvUxcxLXsYWmy_00,No
愛情訊號,時星草,,,,https://www.banxia.la/books/345943.html,No
愛豆竟然暗戀我,車釐酒,,,,https://www.banxia.la/books/287260.html,No
慢慢仙途,絕世小白,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-1084.html,No
慢慢仙途之仙靈界,絕世小白,,,,https://www.banxia.la/books/266950.html,No
懶散勇者物語,香草,★★★★,,,https://www.books.com.tw/products/0010653293?srsltid=AfmBOorPbgtDCQl-0ucfXAVGhBT426TyeyVPP35DHbafjbUZCL7FgADp,No
戀人交換生,米米拉,★★★,,,https://www.books.com.tw/products/CN10427880?srsltid=AfmBOopJTxup1vC61ZdCagcGXPmcIgC1BareQy38hpP7bh77buUdsx3Y,No
戀愛RPG,御我,★★,,,,No
戀愛RPG（網路版）,禦我,,,,https://www.banxia.la/books/89102.html,No
戀戀戀上他,青悠雪,★,,,https://czbooks.net/n/c8521h,No
成了霸總的心尖寵,半截白菜,,,,https://www.banxia.la/books/2786.html,No
成為男主退親未婚妻以後,白日上樓,★★★,,前半段略乾，女主自私，男主無情，但看到後面女主就是一般人，自私也是為了生存,https://www.jjwxc.net/onebook.php?novelid=3348686,No
我一直都愛你,夢筱二,,,,https://www.banxia.la/books/78663.html,No
我只喜歡你,步蓮斂,★,,,https://www.xbanxia.cc/books/16752.html,No
我在戀愛遊戲裡養崽,一隻甜兔,,,,https://www.banxia.la/books/164970.html,No
我在現代做藥神,偷葡萄的小狐狸,★★,,,https://czbooks.net/n/cpn2jpk,No
我就喜歡他那樣的,蔣牧童,★★,,,https://www.jjwxc.net/onebook.php?novelid=2823355,No
我就想蹭你的氣運,明桂載酒,★★★,,,https://czbooks.net/n/skloh31nb,No
我成了反派的掛件穿書,大茶娓娓,,,,https://www.banxia.la/books/135997.html,No
我把被窩分給你,春風榴火,★★★,,商戒雙重人格。江醒醒則是被狸貓換小公主，但認親部分只有淺淺帶過，看得不過癮,https://czbooks.net/n/cpg03gc,No
我的印鈔機女友,時鏡,★★,,,https://czbooks.net/n/cpg878j,No
我的師妹不可能是傻白甜,歸山玉,,,,https://www.banxia.la/books/357831.html,No
我的愛豆會發光娛樂圈,年深不見,,,,https://www.banxia.la/books/47553.html,No
我的臉它總在變,容光,★,,,https://www.banxia.la/books/59884.html,No
我的身體被穿過,珊瑚樹,★★★,,身體被穿過這點有雷，但男主發現那個不是原來的人也蠻好的畢竟就是不同的人，為了保護好心愛的人的身體，一直守在身邊，也不知道人還會不會回來,https://czbooks.net/n/cpg292b,No
我看上你哥啦,蘇拾五,,,,https://www.banxia.la/books/263057.html,No
我與你的未完成（煙波）｜POPO小說原創,未知作者,★★★★★,,,http://www.popo.tw/books/518325/articles,No
我被反派學校錄取了,淡櫻,★★★,,沙雕,https://czbooks.net/n/aicbjg,No
我見玫瑰,今様,★★★,,,https://www.jjwxc.net/onebook.php?novelid=4046140,No
把男神私信當備忘錄被回複後,六經注我,,,,https://www.banxia.la/books/299381.html,No
折紙星星,蘇其,,,,https://www.banxia.la/books/351721.html,No
拜金小老婆,布叮,★,,,https://www.zwxiaoshuo.com/cht/book-28910.html,No
掌上嬌,蓬萊客,★,,,https://www.xbanxia.cc/books/57866.html,No
掌櫃攻略,笑佳人,★★★,,當下在看的時候，覺得太糾結了就把中間跳過看結局了QQ,https://czbooks.net/n/clb0ee,No
掌歡,冬天的柳葉,★★★★,,,https://www.xbanxia.cc/books/120393.html,No
揉碎在你眼波,陸將軍,★★★,,電競主播X美妝博主,https://www.jjwxc.net/onebook.php?novelid=3242793,No
敗給溫柔,江蘿蘿,,,,https://www.banxia.la/books/209252.html,No
星際奶爸,袖側,,,,https://www.banxia.la/books/80339.html,No
星際男神是我爸,尤前,★★,,,https://czbooks.net/n/u7if8,No
春秋大夢,夢三生,★★★★★,,,https://www.books.com.tw/products/0010560930?srsltid=AfmBOooq6l0q39nJVir6tCYJ8MbhHxyuVFFBDjsPitk3KsTGE58TiwIZ,No
晝夜關係,夏末秋,,,,https://www.jjwxc.net/onebook.php?novelid=5648083,No
暖風不及你情深,青青誰笑,★★★,,男主有多個面向霸總，冷酷，也是暖男，把女主照顧得好好的，正文以完結,https://www.xbanxia.cc/books/3603.html,No
暗戀你的第七年,夢筱二,,,,https://www.banxia.la/books/266063.html,No
暴力仙姬,峨嵋,★★,,,https://czbooks.net/n/s6gdg3bj,No
替身,半截白菜,,,,https://www.banxia.la/books/113960.html,No
替身竟是本王自己（雙替身）,寫離聲,,,,https://czbooks.net/n/wfl8g62,No
最萌星二代,不起床就開心,★★,,故事分兩個部分，萌娃時期和長大後，但長大後的部分挺讓人失望的，僅描述拍攝一部電影得獎後便結束了，人物設定還行，但內容不夠豐富,https://www.jjwxc.net/onebook.php?novelid=3648950,No
最萌身高差,自溪,★,,,https://www.jjwxc.net/onebook.php?novelid=2647625,No
月照寒山,五彩的白紙,,,,https://www.banxia.la/books/226730.html,No
末世之主神空間,愛吃麵的貓,★★★,,普通不喜歡作者的描寫方式,http://egg19910707.blog.fc2.com/blog-entry-14923.html,No
末世之有個超市,一水清平,★★,,,https://ixdzs.tw/read/156238/,No
末世之殺醫,夜如煙,★★★,,,https://czbooks.net/n/u8gi8,No
末世之水晶手鏈,摘星樓主,★★,,,https://czbooks.net/n/cpga27e,No
末世之蘿莉養成記,晴空悠然,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-8406.html,No
末世重生之歸來,路痴小屍,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5647.html,No
末世重生之歸途,君家小七,★,,,http://egg19910707.blog.fc2.com/blog-entry-4375.html,No
末世風華,貓邏,★★★★★,,,https://www.books.com.tw/products/0010813633?loc=series_P_E250711000012821_title_005,No
本王想靜靜,花裡尋歡,★★★,,,https://www.jjwxc.net/onebook.php?novelid=3050253,No
柴米油鹽詩酒花,青青綠蘿裙,★★,,QAQ 先放著有機會再看，沒有非常吸引到我,https://czbooks.net/n/cp9nlfg,No
校花的貼身高手,魚人二代,★,,多到看不下去了，曾經很認真地追,https://www.qidian.com/book/1931432/,No
梟寵之特工主母嫁到,簾卷雲舒,★★,,,http://egg19910707.blog.fc2.com/blog-entry-11267.html,No
極品女仙,金鈴動,★★,,,https://czbooks.net/n/u9ap6,No
極品敗家女,小白傳說,★,,,https://big5.quanben5.com/n/jipinbaijianv/,No
殊途+少帝（沉月之鑰）,水泉,,,,https://www.banxia.la/books/6549.html,No
沉月之鑰,水泉,★★★★,,,https://www.books.com.tw/products/0010979679?sloc=main,No
沉淪冬焰,十貳秋,,,,https://www.banxia.la/books/241176.html,No
沒送你花,怯喜,,,,https://www.banxia.la/books/245818.html,No
法師的小蘿莉,青行燈,★,,,https://www.books.com.tw/products/0010627309?srsltid=AfmBOopXKw2W33a2rIWOyCbywKCc2O38H7nZQLPzleOSREEi9xr-waCV,No
浸入藍夜,越六關,,,,https://www.banxia.la/books/320437.html,No
混亂學園,貓邏,★★★★★,,,https://www.books.com.tw/products/0010382077?srsltid=AfmBOoqlait5QqnvehLlhcm5b5O9vTlGkHtlodH1f4jE5B0h707xaga6,No
溫文爾雅,綰酒,★★★,,,https://czbooks.net/n/cpg0f31,No
滿級大佬今天也在被迫營業,百城辭,★★★★,,,https://www.jjwxc.net/onebook.php?novelid=5369733,No
滿級綠茶穿成小可憐,春刀寒,,,,https://www.banxia.la/books/122426.html,No
灼灼琉璃夏,羽千落,★★★,,,https://www.books.com.tw/products/CN10708782?srsltid=AfmBOorvC4D2xhWWr9otJA87Nxwlc9Vgq3RDyGoIG3cuSMZV0MqsjdDL,No
無心,淡櫻,★,,,https://www.banxia.la/books/262075.html,No
無限求生,輕雲淡,★★,,,https://czbooks.net/n/cpgde9k,No
無限生存遊戲,輕雲淡,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-14202.html,No
熱吻予你,時汀,★★★,,有甜,https://www.jjwxc.net/onebook.php?novelid=4077222,No
特殊傳說,護玄,,,,https://www.books.com.tw/products/E050029950?sloc=main,No
特殊傳說Ⅰ,護玄,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-3165.html,No
狂帝,隨風清,★,,,https://czbooks.net/n/co56p9,No
狐顏亂羽,張廉,★★★,,,https://www.banxia.la/books/52031.html,No
獵者天下,那時煙花,★★,,,https://czbooks.net/n/u5ngb,No
玄學大師是天后,一杯豆漿,★,,,https://www.jjwxc.net/onebook.php?novelid=3370619,No
玄日狩,御我,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-3243.html,No
甜檸檬之戀,那堤,★★,,,https://www.books.com.tw/products/0010489933?srsltid=AfmBOoqIdL6pSqnoH5xUckEhpAgsQu1JV07OfdywjU_rdbUt4iKen8Su,No
甜粥,月尋星,★★★,,雙向暗戀，大概80%都是在校園，甜甜的一篇文，還有一篇《酸檸》是男女配的故事。,https://www.xbanxia.cc/books/205816.html,No
生存遊戲,那時煙花,★★★★,,設定、劇情很精彩，最可惜的就是爛尾了...,https://big5.quanben.io/n/shengcunyouxi/,No
異能重生,天才少女占卜師,★,,,http://egg19910707.blog.fc2.com/blog-entry-5199.html,No
異能重生：天才少女佔蔔師,艾兮兮,,,,https://www.banxia.la/books/183738.html,No
當大神遇到大神,鬼魅妹,★,,,http://egg19910707.blog.fc2.com/blog-entry-5828.html,No
當我在地鐵上誤連別人的手機藍芽後,七寶酥,★★★★,,很甜很青春理想，雖然對於藍芽連線的部分令人想吐槽，但不妨礙看中間的故事,https://www.banxia.la/books/205023.html,No
盛世煙火,夜凰,★★★★,,術士X刺客(阿七),https://czbooks.net/n/u5nn0,No
真假千金交換之後,向重逢,,,,https://www.banxia.la/books/220708.html,No
社恐在古代,昔邀曉,,,,https://www.banxia.la/books/280174.html,No
日月星辰不及你,密雨恬言,★★★★,,中醫師X女直播主,https://www.jjwxc.net/onebook.php?novelid=4172684,No
神之左手,墨寶非寶,★★★★,,"密室困魷魚_前傳
主電競，沒有固定男主女主。",https://www.xbanxia.cc/books/163172.html,No
神次子-御我,未知作者,★★★★★,,,"https://story.udn.com/dcstore/StoreBook.do?id=33113#1,asc",No
神醫嫡女,楊十六,★★,,,https://www.banxia.la/books/66747.html,No
福運嬌娘,安碧蓮,,,,https://www.banxia.la/books/35957.html,No
禽難自禁，警官老公超威猛！,媚璣,★★,,,https://www.banxia.la/books/185453.html,No
秦先生，你人設不對,子初酒,★★★,,,https://czbooks.net/n/cpgk8dk,No
穿成影帝作精小嬌妻,時星草,★★★,,,https://czbooks.net/n/sklo661hg,No
穿成愛豆對家的親妹妹,時星草,★★★,,有了老婆粉在前，設定有些許的相似，就覺此書人設背景略為空洞，但系統是一個特別的設定，原先很不愛看系統文的，但作者給了系統一個合適的身分。,https://www.jjwxc.net/onebook.php?novelid=4386350,No
穿成短命白月光後，和反派HE了,青花燃,★★★★,,"情節緊湊，文筆自然流暢，很喜歡看女主各種吐槽，幫男主科普、吐槽言情梗。
沒有絕對的好人或壞人，在眾人眼裡的壞人卻是實際付出行動的英雄。",https://czbooks.net/n/shpf21,No
穿成總裁前女友,九紫,★★★★★,,原本以為會是一個很俗套，沒有故事性的書穿故事，但看了後覺得還不錯，且埋下一個問題，究竟另一個世界是真實存在嗎，或是一切都是想像出來的,https://czbooks.net/n/cpm80pm,No
穿越之將軍的嬌妻,瀾橋映雪,★★★,,,https://www.jjwxc.net/onebook.php?novelid=2952113,No
穿越之絕色神醫,紫涵雨,★★,,,https://czbooks.net/n/c8i87m,No
穿越變蘿莉,白日幻夢,★★★,,,https://www.books.com.tw/products/0010888176?sloc=main,No
第一藥師,柒月雨,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-3841.html,No
第二人生(吾命騎士X特殊傳說),雪姬冰塵,,,,,No
第十二秒,Sunness,★★★,,"女主已死，但貫穿全文。
作者文筆平順，但故事線起伏略少稍顯平淡，可能有的人會喜歡，但目前不太符合期待",https://www.jjwxc.net/onebook.php?novelid=2584482,No
紅茶不加糖,夏堇,★★★★★,,,https://www.banxia.la/books/223812.html,No
紙星星（晨羽）｜POPO小說原創,未知作者,★★★★★,,好看到哭,http://www.popo.tw/books/25349/articles,No
終疆,御我,★★★★★,,,https://www.books.com.tw/products/E050030003?sloc=main,No
網戀嗎，我超甜,風十一,,,,https://www.banxia.la/books/243071.html,No
網遊之公子連城,滿座衣冠勝雪,★★★★,,,https://czbooks.net/n/u9ldo,No
網遊之另類雙神,傾風撫竹,★★★★,,,https://czbooks.net/n/ck63n5,No
網遊之宅心人後,白瓷盤,★,,,http://egg19910707.blog.fc2.com/blog-entry-4359.html,No
網遊之沒事找找虐,青衫風流,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-536.html,No
網遊之給大神當導航的日子,穆幕,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-12257.html,No
網遊之藍調暗翼,碎夕,★★,,,http://egg19910707.blog.fc2.com/blog-entry-2978.html,No
網遊之術師傳奇,宛海,★★,,不確定是我看的網站有問題還是他真的是個爛尾，很多都沒交代,http://egg19910707.blog.fc2.com/blog-entry-4917.html,No
網遊之近戰法師,蝴蝶藍,★★★★,,還不錯看，但個人偏好女性視角，因此不列入經典中，以及他非常長,https://tw.hjwzw.com/Book/1681,No
縱使晚風吹,容煙,,,,https://www.banxia.la/books/294749.html,No
縹緲世界,小豬儲蓄罐,★,,,http://egg19910707.blog.fc2.com/blog-entry-3897.html,No
總裁大人，100分寵！,妃子笑,★,,,https://czbooks.net/n/cp9gbio,No
繁花盛宴,月下蝶影,★★★★,,溫馨且正面,https://czbooks.net/n/cpna87e,No
繡娘一,宛海,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-847.html,No
